,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ACN,10.391446033300456,13.992916452113068,11.723966028796692,13.81600962631047,16.26349012359541,17.382159934610335,20.10108359742657,23.40325359811541,23.38415576015438,24.7223316014616
ADI,42.243354167477335,52.232352758108576,48.8204683402959,91.35012134592422,82.62300776774048,74.0000965403468,84.2846079059063,166.61228475273384,200.92316677106007,99.12698707594896
ADSK,7.438169644892854,-29.64356117646785,-52.66733323131957,-51.54887984950805,-7.347238475639883,19.50473580476183,109.8448524575864,45.19279111872552,74.8363522951934,82.3836393431898
AES,0.7588447637767087,-0.0272787333383778,-1.363936666918922,2.489804388339269,0.748925224380935,0.1066350485045701,-1.0241924426136635,-1.354017127523148,0.6001321334443254,4.181085855318734
AIZ,4.6025414489430485,18.381878479459942,16.894355811315794,8.16105332686733,12.439916346053549,14.332240264872986,44.27777856784036,8.993415737894436,20.890345667379524,24.717261908703367
ALB,1.3465410048391078,2.5879941872937864,0.2205328483676762,2.7885725319887418,2.143925058320266,1.5108168684417798,0.4972422684289388,10.814818305650872,6.326401898234789,-4.742155833626395
AMCR,66.7236347633112,24.107382851260358,58.57270857762124,70.66853101200668,42.24885773080735,60.102977524997904,92.21682335943304,79.05702109088776,102.92143863757808,71.69146011968704
AMGN,42.8526190687008,47.68812861341801,12.221549666660746,51.838144467887965,48.4292028731448,44.85969518879416,36.39292177141574,40.46265458108196,41.48163168820628,25.25828101902094
AON,60.56553995860785,61.04656590773759,53.61252851209619,49.58940239210202,66.99379582425071,86.10364489422301,54.88068783252914,113.21601657244456,112.1227757789679,116.05844263548391
AOS,24.71634418870553,28.525579277526887,25.90454595953054,38.80876666179921,32.32607758862159,30.133146379231302,42.55684430653398,20.592585101724616,48.628904826558845,46.61944594942832
APA,-32.76472379836231,-1.9911949883947853,1.84805570453153,0.0566888252923772,-4.981530522567737,-6.7799835049684365,1.6085454176712324,5.206868603104941,4.046164905243496,1.1394453883768023
APD,36.486028204291166,18.018884419538427,85.6660763942055,42.764514472484,50.25073138708229,53.86821301591372,59.93256264467297,64.41515629681611,65.6742797366856,109.30105107728888
ARE,10.647763273236452,-4.865572349095842,12.484396674188002,28.005189282108656,26.81303139799688,56.92109061602378,42.17604600391426,38.51496140619017,7.651827023686199,23.843822166099965
ATO,3.853503318069084,4.281923115668519,4.848400028095739,7.375733158797158,6.254716235437398,7.355907628753231,8.140122919571578,9.471221970978538,10.827845933675862,12.75505623390513
AVY,31.68818671215679,37.04849244837288,32.55461544107102,53.99583838593541,35.07303494644841,64.21969738712343,85.49918696925715,87.46309208812943,58.10848675251499,81.43274813488632
AXON,1.4527329248755556,1.2606191442117352,0.3794903095282705,2.128483673856953,0.0642808628776509,-0.1256464938787665,-4.374159669150715,10.723607577046335,12.811205123834853,27.47853838346113
BALL,83.03781587188476,77.71866752421955,110.52008233482172,134.16074165777823,167.25766470991735,172.87232129911953,259.4562360694477,212.4704256650717,208.9243267666282,1184.397032080121
BAX,102.2239280664239,524.3200442663168,63.57314534709421,163.26259585815222,105.70883470505198,116.3747610838834,135.5945492120747,-256.9326621752163,280.4821827938243,-68.5364972263524
BBY,53.77866088183291,39.12364867072516,53.560580342977154,43.61610777115403,63.85398177696949,67.21242207534836,78.42176177253496,107.033928470412,61.89125692726757,54.127589744002144
BEN,129.65543791151072,109.99658263735348,108.08548199501804,48.69484436670702,76.17010126801618,50.89261010539277,116.65358320815528,82.2983639944385,56.237321568457546,29.60931928525041
BIIB,4530.713223916564,4729.722279537147,3243.285578473794,5659.495653004545,7521.597073310597,5110.113144516664,1987.66361650312,3891.91714743484,1483.1156256807224,2084.8689382792827
BKR,-4.95403117718564,2.076442110569558,-0.4986731052942633,1.5941189431537943,1.0463960242240289,-81.25919125614729,-1.7903181976957998,-4.913156332489388,15.883964648963191,24.35323247002643
BSX,-10.055611960945622,14.599570503967078,4.375663782168807,70.30513634619304,197.7463440018596,-3.450042597479252,43.75663782168806,29.367435768786805,67.02338850956646,78.00462165520162
BX,27.892579041413374,40.83013419500032,57.82058554652236,60.5876445747999,80.54635559970957,41.07963085433701,230.178135755045,68.67665715124396,54.65741274818437,109.10843764712692
CAG,-27.78815965290022,-74.4757881433628,70.3284658198698,88.93091157325628,74.61879925796602,92.41818259858066,142.87910434357406,97.70959383889934,75.20184457134832,38.194968454025954
CAH,30.078727842586563,35.327032618412375,31.88592712860206,6.337575578355687,33.742638723823454,-91.4244789487014,15.126010462403617,-23.221273017568887,8.169531018974128,21.092243721715025
CAT,211.7328664442844,-5.647333619334019,63.55357535787837,518.1217874335256,513.5702051134654,252.6971073248267,546.9484754605741,565.1548047408149,871.1222829226432,909.6421555201902
CBRE,96.99786149800592,101.40177842750734,122.58830459702529,188.4919348604146,227.3416409148037,133.31577182475888,325.6710840744773,249.43887604397904,174.80222585597963,171.61111017098202
CCL,636.8701101401924,1007.3204530902644,944.6121269353112,1142.5239539908289,1083.802862446884,-3710.3030434803695,-3443.8832762902493,-2208.5654986250383,-26.823214655876065,694.5037740629533
